;B1;B2;B3;B4;B5;B6
X276_14120;43.78550905;40.01087586;36.27129645;238.0257187;473.0520373;180.5038663
X276_14115;129.802012;71.13044598;45.12321999;157.6329263;54.95048918;112.2901959
X276_14110;1186.354118;1164.390582;1041.72027;1040.771396;1081.38979;1700.619276
X276_14105;1798.314901;1618.217646;1649.048585;1550.31983;1589.084527;2077.893345
X276_14100;2684.129431;2142.804685;2723.369842;2244.49583;2352.71714;2927.415902
X276_14095;5654.030556;3851.417273;6507.027403;5902.170844;5191.029364;5039.940803
X276_14090;294.0624424;564.5979149;482.105982;298.5173542;401.3774862;371.5021435
X276_14085;525.6851945;1265.158714;920.600048;419.8947075;562.9438701;558.8273769
X276_14080;72.54403866;138.9266523;166.2434421;77.2401339;68.38946751;76.60919909
X276_14075;21.24503989;17.41214042;37.13489875;104.2347725;148.1274056;77.65864017
X276_14070;478.5315693;287.1150814;397.2570563;1956.027574;1426.024923;2134.563164
X276_14065;27.7221862;29.26721475;50.95253549;37.43782;21.20372137;28.85962979
X276_14060;37.56744859;37.41757835;41.6688108;56.55081232;42.7060867;52.99677471
X276_14055;42.23099394;48.16123946;57.21365214;61.87092358;75.55692262;67.68894988
X276_14050;870.528464;517.5480887;743.7774778;994.2696827;437.5134057;402.985376
X276_14045;1.036343409;0.370471073;1.727204593;1.970411579;2.687795666;5.771925959
X276_14040;37.04927689;57.05254521;50.95253549;65.02358211;72.57048299;107.0429905
X276_14035;8.290747276;9.632247893;7.124718945;58.32418274;92.28098455;54.04621579
X276_14030;431.3779442;308.9728747;201.4352356;225.6121258;304.9154862;299.6154293
X276_14025;15.02697944;4.816123946;6.908818371;81.18095705;97.95521984;30.43379142
X276_14020;3.627201933;5.927537165;8.636022964;23.05381547;49.57489785;60.3428623
X276_14015;56.99888752;89.28352854;92.18954514;111.7223365;158.2813004;145.8723106
X276_14010;2.331772671;0.740942146;1.079502871;1.576329263;0.597287926;1.049441083
X276_14005;115.5522902;61.12772701;140.3353732;534.7697025;677.6231519;415.0539485
X276_14000;102.5979975;57.79348736;132.5629525;528.4643855;657.3153624;354.1863656
X276_13995;476.9770542;555.7066092;441.516674;296.7439838;436.0201859;431.8450058
X276_13990;2710.815273;2945.6155;2714.302018;1763.912445;1974.932527;1999.709984
X276_13985;401.3239853;277.4828335;476.492567;469.9431616;1296.712087;1867.480408
X276_13980;58.55340264;37.78804943;47.92992745;57.14193579;78.84200621;103.8946673
X276_13975;218.1502877;193.3859;232.7408189;283.1481439;170.2270589;133.8037381
X276_13970;98.9707956;35.93569406;34.975893;31.52658526;28.07253252;33.58211467
X276_13965;148.9743651;67.79620632;44.69141884;35.66444958;41.21286688;47.22484875
X276_13960;338.8842949;168.9348092;115.075006;116.4513243;111.0955542;113.8643575
X276_13955;402.6194146;245.6223213;156.0961151;150.1453623;151.1138452;150.0700749
X276_13950;341.9933251;174.4918753;117.0181112;119.4069417;107.8104706;92.35081534
X276_13945;736.8401641;442.712932;237.4906315;210.0458743;255.3405883;284.3985336
X276_13940;671.5505293;744.6468563;648.7812252;436.0520824;387.6398639;438.1416523
X276_13935;4127.237628;3147.522234;3091.26442;3913.434437;5382.758788;3282.651709
X276_13930;315.5665682;529.403163;486.8557946;346.2013144;504.1110094;288.5962979
X276_13925;121.5112648;218.948404;327.3052703;583.8329508;345.2324212;287.5468568
X276_13920;249.4996758;489.3922872;802.0706328;535.1637848;319.2503964;357.8594094
X276_13915;1268.225247;2456.964155;2766.981758;784.4208496;524.1201549;882.0552306
X276_13910;322.5618862;197.4610818;312.1922302;388.5651634;361.0605512;281.7749309
X276_13905;21.24503989;13.70742969;21.37415684;79.21054547;97.05928795;98.64746184
X276_13900;175.1420362;115.5869747;91.32594284;574.3749753;1668.523821;936.1014464
X276_13895;83.16655861;100.3976607;158.4710214;373.9841177;295.9561673;246.0939341
X276_13890;12.95429262;25.19203295;25.47626774;23.44789779;34.04541177;45.12596659
X276_13885;350.2840724;489.0218161;423.812827;309.1575767;338.9608979;332.6728234
X276_13880;244.3179588;368.2482464;339.6116031;224.62692;254.7433004;251.3411395
X276_13875;917.1639174;1271.086251;860.5796884;353.6888784;362.553771;596.0825354
X276_13870;1.554515114;2.963768582;2.590806889;1.576329263;3.882371518;3.14832325
X276_27025;1.813600967;1.111413218;3.454409186;4.334905474;3.583727555;3.673043792
X276_13865;5.4408029;6.66847931;6.692917797;12.01951063;11.34847059;10.49441083
X276_13860;2.072686819;1.481884291;1.727204593;4.926028947;5.375591333;2.623602708
X276_13855;3.368116081;3.704710728;3.886210334;6.699399368;8.063386999;7.346087584
X276_27540;1.554515114;2.59329751;2.159005741;3.152658526;4.181015481;6.2966465
X276_13850;6.218060457;7.779892529;7.772420668;11.82246947;11.04982663;13.64273408
X276_13845;3.627201933;4.075181801;5.181613778;10.04909905;11.34847059;12.06857246
X276_13840;10.10434824;18.89402471;18.99925052;26.79759747;35.83727555;38.82932009
X276_13835;1.036343409;2.222826437;3.454409186;5.320111263;2.389151703;6.2966465
X276_13830;11.14069165;22.22826437;17.05614535;19.70411579;17.61999381;18.8899395
X276_13825;43.5264232;52.23642126;79.2355107;119.9980652;87.50268114;80.80696342
X276_13820;3.627201933;3.704710728;6.692917797;10.83726368;9.257962851;5.771925959
X276_13810;4.145373638;4.445652874;2.806707463;5.517152421;3.285083592;5.771925959
X276_13805;7.513489719;9.632247893;7.556520094;10.24614021;13.14033437;14.69217517
X276_13800;34.97659007;65.57337989;60.8839619;23.84198011;27.77388855;36.73043792
X276_13795;69.43500843;110.0299086;91.75774399;54.38335958;56.44370899;66.11478825
X276_13790;274.3719177;296.3768582;360.1221576;414.3775551;154.3989288;248.7175368
X276_13785;181.8782684;268.9619989;230.150012;200.1938164;161.26774;130.1306943
X276_13780;7.513489719;7.779892529;8.636022964;8.47276979;13.73762229;15.74161625
X276_13775;12.69520677;10.74366111;9.067824112;11.42838716;21.50236533;14.69217517
X276_13770;20.20869648;22.22826437;22.02185856;27.19167979;65.40302788;63.49118555
X276_27545;87.31193225;161.5253877;165.1639392;124.7270529;197.7023035;212.5118194
X276_13760;13.47246432;34.82428084;37.35079932;31.72362642;35.83727555;38.82932009
X276_13755;19.94961063;18.15308257;19.64695224;34.87628495;83.32166566;107.0429905
X276_13745;3.109030228;2.59329751;1.943105167;3.349699684;4.778303407;5.247205417
X276_27035;2.072686819;1.481884291;3.454409186;6.699399368;4.778303407;2.098882167
X276_13735;9.068004833;6.66847931;6.045216075;7.093481684;20.00914552;11.01913138
X276_13730;6.218060457;4.445652874;3.67030976;13.98992221;13.43897833;6.2966465
X276_13725;19.43143893;17.78261149;14.03353732;27.97984442;40.316935;36.20571738
X276_13720;6.218060457;4.445652874;5.181613778;7.290522842;8.063386999;2.098882167
X276_13715;6.477146309;5.927537165;8.851923538;6.699399368;14.33491022;6.2966465
X276_13710;6.218060457;8.891305747;5.613414927;11.42838716;18.5159257;9.444969751
X276_13705;5.181717047;8.150363602;6.477017223;9.457975579;20.90507741;9.444969751
X276_13700;13.99063603;19.26449579;12.73813387;23.25085663;39.12235914;16.26633679
X276_27040;3.368116081;8.150363602;3.022608037;4.531946632;7.764743036;6.2966465
X276_13690;21.24503989;17.04166935;19.43105167;27.38872095;35.83727555;14.69217517
X276_13685;8.290747276;7.409421456;4.318011482;8.275728632;9.556606814;3.673043792
X276_13680;7.772575571;5.927537165;4.965713204;7.290522842;19.41185759;4.722484875
X276_27045;65.8078065;106.695669;97.58705949;136.1554401;255.0419443;205.6904523
X276_27555;136.0200725;174.8623464;200.1398322;264.0351516;209.648062;190.4735566
X276_13660;9.068004833;11.11413218;11.87453158;8.669810947;22.39829722;19.93938058
X276_13655;12.95429262;31.86051226;21.37415684;19.31003347;41.81015481;42.50236388
X276_13650;4.922631195;8.891305747;7.124718945;5.123070105;18.5159257;22.03826275
X276_13645;4.145373638;10.37319004;9.931426409;8.275728632;15.23084211;18.8899395
X276_13640;16.8405804;38.1585205;24.39676487;25.61535053;63.31252014;55.09565688
X276_27050;17.09966626;34.0833387;23.74906315;24.63014474;52.56133748;61.91702392
X276_13630;2.590858524;3.704710728;2.159005741;2.955617368;5.375591333;2.098882167
X276_13625;26.42675694;50.75453697;36.48719702;47.48691905;82.12708981;59.81814175
X276_13620;5.958974604;8.891305747;7.772420668;9.260934421;11.34847059;9.444969751
X276_13615;2.590858524;6.298008238;3.022608037;3.349699684;7.764743036;5.771925959
X276_13610;10.8816058;5.927537165;8.851923538;10.04909905;13.73762229;12.593293
X276_13605;8.031661423;6.66847931;11.22682985;10.83726368;7.16745511;6.2966465
X276_13600;6.736232162;4.445652874;10.79502871;13.59583989;13.73762229;8.920249209
X276_13595;3.109030228;3.704710728;3.67030976;8.669810947;19.11321363;16.26633679
X276_13590;89.12553321;184.4945943;300.7494997;273.8872095;229.3585635;225.6298329
X276_13585;180.3237532;318.6051226;536.2970261;845.7006497;499.63135;474.8720902
X276_13580;348.4704714;543.8515349;673.17799;913.2857669;691.0621302;503.2069995
X276_13575;429.0461715;489.7627582;512.9797641;747.5741531;616.4011395;436.5674907
X276_13570;53.11259974;85.20834674;72.5425929;41.57568432;54.35320125;54.04621579
X276_13565;172.5511777;173.7509331;150.2667996;192.3121701;331.4947989;426.5978004
X276_13560;112.7023458;26.30344617;55.48644754;848.4592259;1252.512781;342.1177932
X276_13555;193.5371317;150.4112556;243.319947;433.2935062;209.349418;192.0477183
X276_13550;65.8078065;127.8125201;128.8926427;106.5992664;64.50709599;94.97441805
